services_id,organizations_id
1,
2,869
2,868
2,870
2,871
2,872
2,873
2,15
2,1056
2,1089
2,1192
2,1111
2,1112
2,1223
2,1273
3,2
3,6
3,7
3,9
3,10
3,14
3,826
3,827
3,830
3,831
3,832
3,833
3,958
3,959
3,960
3,961
3,970
3,1037
3,1038
3,1270
5,834
5,835
5,961
6,838
6,834
6,843
6,844
6,835
6,960
6,973
6,961
6,1194
8,835
8,855
8,838
8,858
8,859
8,860
8,958
8,961
8,974
8,975
8,976
8,977
8,1049
8,1053
8,1056
8,1059
8,1014
8,1078
8,1141
8,1270
11,861
11,862
11,863
11,864
11,865
11,866
11,867
11,876
11,877
11,883
11,884
11,885
11,886
11,887
11,888
11,889
11,890
11,891
11,892
11,893
11,894
11,963
11,979
11,980
11,1001
31,
32,15
32,1076
32,1178
32,1179
32,1206
32,1219
32,1257
32,1258
32,1259
32,1261
32,1264
32,2359
33,895
33,1181
33,1192
33,1222
33,1223
33,1260
33,1261
33,1265
33,1166
33,1266
33,1267
33,1268
34,896
34,897
34,898
34,899
34,10
34,901
34,902
34,903
34,904
34,905
34,14
34,906
34,907
34,923
34,838
34,925
34,924
34,927
34,928
34,929
34,930
34,931
34,933
34,934
34,935
34,936
34,937
34,938
34,939
34,940
34,941
34,942
34,943
34,944
34,945
34,946
34,947
34,948
34,949
34,950
34,951
34,952
34,953
34,954
34,955
34,956
34,966
34,967
34,968
34,969
34,981
34,982
34,983
34,984
34,985
34,987
34,988
34,989
34,990
34,991
34,997
34,998
34,999
34,1004
36,957
37,835
38,1005
39,1006
39,1049
39,1051
39,1075
40,1008
40,1257
40,2359
41,1009
41,961
41,1010
41,838
41,1037
41,1124
41,973
41,1217
42,961
42,946
42,843
42,1039
42,1215
43,1011
43,1012
43,1013
43,1041
43,1043
43,1166
43,1167
43,1083
43,1194
44,961
45,1014
45,1015
45,1016
45,1017
45,1018
45,1051
46,1019
46,1020
46,1021
46,1056
46,946
46,1066
46,1127
46,973
46,1195
46,1196
47,1021
47,1022
47,1023
47,1024
47,1025
47,1026
47,1027
47,973
47,1143
47,838
47,929
47,1199
47,1061
47,843
47,1216
47,1221
48,958
48,1028
48,1029
48,1071
48,1090
48,843
48,1107
48,1108
48,1109
48,1144
48,1145
48,1146
48,1151
48,1152
48,1163
48,1164
48,1165
48,1168
48,1169
48,1170
48,1171
49,1030
49,1031
49,1032
49,1033
49,1034
49,1115
49,1118
49,1119
49,1121
49,1122
49,1123
49,1125
49,1171
49,1172
49,1173
49,1011
50,1035
50,1110
51,902
51,1036
52,1010
52,1038
53,1037
53,1038
53,1039
53,1128
53,1142
53,1229
53,1242
53,1254
53,1259
54,1039
54,1053
54,1253
55,831
56,1040
57,1040
58,1040
59,1041
60,1041
61,1041
62,1041
63,1041
64,990
64,1042
64,1051
65,1044
65,1049
65,1050
65,1053
65,1057
65,1058
65,1071
65,1148
65,1153
65,1238
66,1044
66,1071
66,1167
66,1252
67,1044
67,1265
68,1044
68,1049
68,860
68,1148
68,1259
69,1044
69,1051
69,1057
70,1044
70,1051
71,1045
71,1046
71,1047
71,1048
72,843
72,838
72,1061
72,1056
72,1063
73,1050
73,1053
73,1256
74,1051
74,1192
74,1223
74,1232
74,1234
74,1251
75,1051
76,1051
76,1053
76,1056
76,977
76,1238
77,
78,1053
79,1054
79,1055
79,1068
80,1056
80,1071
80,1042
80,929
80,961
80,1169
80,1201
80,1202
80,1188
80,1094
80,1203
80,1214
80,1218
80,1219
80,1237
81,1056
81,1057
81,859
81,977
81,2359
82,1056
82,1230
83,1056
83,1039
84,859
85,1008
85,1258
85,1267
86,858
87,1035
88,977
88,860
88,1142
88,835
88,1270
89,1039
89,1217
89,1249
89,1270
90,1060
90,1062
90,1064
90,1065
90,1180
90,1184
90,1055
91,1069
92,1070
92,1191
93,1071
93,843
94,1071
94,1175
94,843
95,1071
96,1071
96,1076
97,1071
97,1217
98,1071
99,1073
99,1137
99,1118
99,1122
99,1115
99,1140
99,1229
100,1072
101,1074
101,1268
102,1076
102,1149
103,1076
103,1079
103,1078
103,1142
103,1269
104,1076
104,1142
104,1149
105,1076
106,1076
106,1149
107,1077
108,1078
108,1160
109,1080
109,1254
109,1269
110,1081
110,1085
110,1011
110,1166
110,1167
110,946
110,1083
111,1082
111,946
111,1222
111,1251
111,1254
112,1086
113,1087
114,1088
115,1089
115,1242
116,1091
116,1092
116,1093
116,1198
117,1094
117,1099
117,1100
117,1101
117,1102
117,1081
117,1111
117,1185
117,1186
117,1187
117,1188
117,1189
117,1190
117,1201
117,1071
117,1202
117,1203
117,1205
117,1213
117,1214
118,1103
118,1104
118,1105
118,1106
118,1112
118,1114
118,1116
118,1117
118,1120
119,1042
120,1115
120,1118
120,1119
120,1123
121,838
121,1127
121,1129
121,946
121,1130
121,1124
121,1176
121,1030
121,1216
122,1129
123,1131
123,1132
123,1176
124,1042
124,1176
124,1030
124,1124
124,1218
124,1219
125,1136
126,1139
127,1147
128,1147
129,1148
129,1149
130,1148
130,1149
130,1153
131,1148
131,1149
131,1153
132,1148
133,1148
133,1149
133,1153
134,1148
134,1153
135,1148
135,1153
135,1253
136,1148
136,1153
137,1148
137,1153
138,1148
138,1153
139,1148
139,1153
140,1149
141,1149
142,1149
143,1149
143,1150
143,1153
144,1149
145,1149
146,1149
147,1149
147,1150
147,1209
149,1149
150,1149
150,1150
150,1153
151,1149
152,1149
153,1149
154,1149
154,1269
155,1149
156,1149
157,1149
157,1158
157,1159
157,1253
158,1150
159,1150
160,1150
161,1150
162,1150
163,1150
164,1158
165,1160
165,1161
166,1160
166,1161
167,1160
167,1161
168,1160
168,1161
169,1160
169,1161
170,1160
170,1161
171,1160
171,1161
173,1166
174,946
175,1174
176,1083
177,1175
177,1265
178,1175
179,1175
179,2359
180,1175
180,2359
181,1175
182,1175
183,1175
183,1266
184,1175
185,1175
185,1246
186,1175
186,1265
186,1266
187,1175
188,1175
189,1175
190,1085
191,1085
192,1085
193,1177
194,1178
195,1178
195,1182
195,1217
195,2359
196,1178
197,1179
197,1206
197,1230
198,1179
198,1206
199,1179
199,1206
200,1183
201,1091
202,1200
203,1206
203,1264
204,1207
204,1208
204,1268
205,1210
209,1216
210,1081
210,1149
211,1222
211,1237
211,1262
212,1229
212,1232
212,1236
213,1229
213,1270
214,1232
215,1232
216,1232
216,1236
217,1234
217,1236
217,1252
218,1236
219,1237
220,1237
221,1242
222,1252
223,1253
224,1253
225,1253
226,1075
227,1273
